"cop","Inf.round","clutch","selection_line","exposed","checking_day","cop_stage_checking","infection","grp","dead","dpi"
"4_045_3D",2,"C6","control",1,5,"C2",0,"uninf",1,8
"4_045_4A",2,"C6","control",1,5,"C2",1,"control",0,30
"4_045_4B",2,"C6","control",1,5,"C2",1,"control",1,17
"4_045_4C",2,"C6","control",1,5,"C2",0,"uninf",1,8
"4_045_4D",2,"","",0,5,"C3",0,"unexp",1,8
"4_045_5A",2,"C6","control",1,5,"C3",0,"uninf",1,17
"4_045_5B",2,"C6","control",1,5,"C2",1,"control",0,30
"4_045_5C",2,"C6","control",1,5,"C2",1,"control",1,6
"4_045_5D",2,"C6","control",1,5,"C2",1,"control",1,6
"4_045_6A",2,"C6","control",1,5,"C2",0,"uninf",0,30
"4_045_6B",2,"","",0,5,"C2",0,"unexp",0,30
"4_045_6C",2,"C6","control",1,5,"C2",0,"uninf",1,8
"4_045_6D",2,"C6","control",1,5,"C2",0,"uninf",1,6
"4_046_1A",2,"F3","fast",1,2,"C2",1,"fast",1,6
"4_046_1B",2,"F3","fast",1,2,"C1",1,"fast",1,8
"4_046_1C",2,"F3","fast",1,2,"C2",0,"uninf",0,30
"4_046_1D",2,"F3","fast",1,NA,NA,NA,"uninf",0,30
"4_046_2A",2,"F3","fast",1,2,"C2",1,"fast",1,6
"4_046_2B",2,"F3","fast",1,2,"C2",1,"fast",1,6
"4_046_2C",2,"F3","fast",1,2,"C2",0,"uninf",0,30
"4_046_2D",2,"F3","fast",1,2,"C2",0,"uninf",0,30
"4_046_3A",2,"F3","fast",1,2,"C2",0,"uninf",1,6
"4_046_3B",2,"F3","fast",1,2,"C2",0,"uninf",1,8
"4_046_3C",2,"F3","fast",1,2,"C2",1,"fast",1,10
"4_046_3D",2,"","",0,2,"C1",0,"unexp",1,8
"4_046_4A",2,"","",0,2,"C2",0,"unexp",1,8
"4_046_4B",2,"F12","fast",1,2,"C2",0,"uninf",1,8
"4_046_4C",2,"F11","fast",1,2,"C2",1,"fast",0,30
"4_046_4D",2,"F12","fast",1,2,"C1",1,"fast",0,30
